mal_id,title,type,source,episodes,aired_from,duration,rating,score,scored_by,rank,popularity,members,favorites,season,studios,producers,licensors,genres
59946,Neverender,Music,Original,1.0,2024-09-25,3 min,PG-13 - Teens 13 or older,6.65,136.0,,22431,243,0,,Mimoid|Caviar,CEKAI,Inconnu,Sci-Fi
59948,Biklonz 2nd Season,TV,Original,21.0,2014-10-08,8 min per ep,PG - Children,,,15489.0,26998,111,0,fall,Inconnu,Inconnu,Inconnu,Action|Sci-Fi
59949,Biklonz 3rd Season,TV,Original,24.0,2015-04-01,10 min per ep,PG - Children,,,15491.0,27421,105,0,spring,Inconnu,Inconnu,Inconnu,Action|Sci-Fi
59950,Jeil Pap,CM,Original,1.0,2024-07-15,1 min,G - All Ages,,,,24096,175,0,,Comma Studio,Inconnu,Inconnu,Inconnu
59951,Man Huang Xian Jie,ONA,Novel,48.0,2024-09-25,7 min per ep,PG-13 - Teens 13 or older,,,18477.0,20266,369,0,,Ruo Hong Culture,Inconnu,Inconnu,Action|Adventure|Fantasy
59953,Mushen Ji,ONA,Web novel,,2024-10-27,20 min,PG-13 - Teens 13 or older,8.3,12942.0,321.0,6070,15570,65,,Sparkly Key Animation Studio,bilibili,Inconnu,Action|Adventure|Fantasy
59957,Senpai wa Otokonoko Movie: Ame Nochi Hare,Movie,Web manga,1.0,2025-02-14,1 hr 22 min,PG-13 - Teens 13 or older,7.3,3486.0,3214.0,6066,15577,33,,Project No.9,Aniplex|Bit grooove promotion,Inconnu,Drama|Romance
59958,Goemuli Pineun Sup,Music,Original,1.0,2024-05-10,4 min,PG-13 - Teens 13 or older,,,,26796,114,0,,Inconnu,Inconnu,Inconnu,Fantasy
59959,Schick x One Piece,CM,Other,2.0,2010-06-01,15 sec per ep,PG-13 - Teens 13 or older,5.49,399.0,,14796,1130,0,,Toei Animation,Inconnu,Inconnu,Comedy
59961,Kizu darake Seijo yori Houfuku wo Komete,TV,Web manga,12.0,2025-07-10,14 min per ep,PG-13 - Teens 13 or older,6.63,4772.0,7234.0,5467,20414,86,summer,Imagica Infos|Imageworks Studio,Inconnu,Inconnu,Fantasy|Romance
59962,Bebefinn,ONA,Original,,2022-05-16,3 min,G - All Ages,,,15432.0,26316,121,0,,Inconnu,Pinkfong,Inconnu,Slice of Life
59963,Smile (2013),Music,Picture book,1.0,2013-04-21,4 min,G - All Ages,,,,25501,137,0,,Studio Bingo,Nippon Animation|Sony Music Entertainment,Inconnu,Slice of Life
59964,Biklonz 4th Season,TV,Original,28.0,2015-09-17,10 min per ep,PG - Children,,,15492.0,27355,106,0,fall,Inconnu,Inconnu,Inconnu,Action|Sci-Fi
59965,Biklonz: Barbarian King Special,TV Special,Original,3.0,2015-12-10,10 min per ep,PG - Children,,,15494.0,27282,107,0,,Inconnu,Inconnu,Inconnu,Action|Sci-Fi
59966,Biklonz 5th Season,TV,Original,14.0,2016-09-23,10 min per ep,PG - Children,,,15493.0,27701,101,0,fall,Inconnu,Inconnu,Inconnu,Action|Sci-Fi
59967,Dushi Gu Xian Yi,ONA,Web novel,,2024-10-02,11 min,PG-13 - Teens 13 or older,6.71,173.0,6695.0,16018,819,4,,Xing Yi Kai Chen,iQIYI|Zongheng Xiaoshuo,Inconnu,Action|Adventure|Fantasy|Sci-Fi
59968,Sword Art Online Alternative: Gun Gale Online II - Gala,ONA,Light novel,1.0,2024-09-27,23 min,PG-13 - Teens 13 or older,6.25,914.0,9572.0,11211,3062,5,,A-1 Pictures,Inconnu,Inconnu,Action
59969,Zhen Hun Jie 4th Season,ONA,Manga,26.0,2024-11-22,21 min per ep,PG-13 - Teens 13 or older,7.66,341.0,1575.0,12424,2176,4,,L²Studio,bilibili,Inconnu,Action|Fantasy
